Sun Jun 20 01:46:48 2021    output.dat

         49206 function calls (48631 primitive calls) in 5.696 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      149    0.001    0.000    0.001    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\numpy\core\_dtype.py:321(_name_get)
        3    0.001    0.000    0.001    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\io\formats\format.py:1634(is_dates_only)
       15    0.001    0.000    0.001    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\internals\managers.py:232(_rebuild_blknos_and_blklocs)
       65    0.001    0.000    0.008    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\internals\blocks.py:127(__init__)
    27/18    0.001    0.000    0.012    0.001 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\series.py:238(__init__)
       24    0.001    0.000    0.009    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\algorithms.py:1661(take_nd)
       13    0.001    0.000    0.001    0.000 {method 'copy' of 'numpy.ndarray' objects}
      433    0.000    0.000    0.001    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\dtypes\common.py:195(<lambda>)
      243    0.000    0.000    0.001    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\dtypes\common.py:1307(is_float_dtype)
       98    0.000    0.000    0.001    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\dtypes\common.py:231(is_sparse)
      141    0.000    0.000    0.002    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\dtypes\common.py:1341(is_bool_dtype)
       43    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
        1    0.000    0.000    0.000    0.000 {pandas._libs.algos.take_2d_axis1_float64_float64}
