Sun Jun 20 01:45:25 2021    output.dat

         325825230 function calls (325819525 primitive calls) in 378.583 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1250178    0.483    0.000    0.641    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\io\parsers.py:3145(<genexpr>)
  1250202    0.452    0.000    0.606    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\io\excel\_openpyxl.py:559(<genexpr>)
  1250202    0.446    0.000    0.599    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\io\excel\_openpyxl.py:560(<genexpr>)
1823/1722    0.395    0.000    0.395    0.000 {built-in method numpy.array}
       24    0.385    0.016    0.385    0.016 {pandas._libs.lib.to_object_array}
    25270    0.348    0.000    3.693    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\zipfile.py:997(_read1)
    15314    0.310    0.000    0.310    0.000 {method 'read' of '_io.BufferedReader' objects}
    15820    0.236    0.000    0.835    0.000 {built-in method builtins.min}
      199    0.187    0.001    0.187    0.001 {built-in method pandas._libs.missing.isnaobj}
    25296    0.171    0.000    3.888    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\zipfile.py:917(read)
       22    0.155    0.007    0.155    0.007 {built-in method pandas._libs.tslib.array_to_datetime}
        3    0.145    0.048   13.743    4.581 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\io\formats\csvs.py:283(_save_body)
    15110    0.124    0.000    0.583    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\zipfile.py:757(read)
24893/23928    0.123    0.000    0.586    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\openpyxl\descriptors\serialisable.py:46(from_tree)
    15176    0.110    0.000    0.110    0.000 {method 'tell' of '_io.BufferedReader' objects}
       77    0.100    0.001    0.100    0.001 {pandas._libs.lib.infer_datetimelike_array}
      127    0.091    0.001    0.092    0.001 {pandas._libs.lib.infer_dtype}
     5577    0.089    0.000    0.089    0.000 {built-in method winreg.OpenKey}
    15140    0.080    0.000    0.691    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\zipfile.py:1033(_read2)
    47820    0.077    0.000    0.110    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\openpyxl\descriptors\sequence.py:23(__set__)
        2    0.074    0.037    0.844    0.422 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\openpyxl\reader\strings.py:9(read_string_table)
    56049    0.062    0.000    0.097    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\openpyxl\descriptors\base.py:38(__set__)
    25258    0.059    0.000   34.943    0.001 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\xml\etree\ElementTree.py:1268(feed)
       19    0.054    0.003    0.054    0.003 {built-in method numpy.core._multiarray_umath.implement_array_function}
       91    0.052    0.001    0.068    0.001 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\internals\managers.py:1860(_stack_arrays)
        2    0.051    0.025  363.291  181.645 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\io\excel\_base.py:439(parse)
       98    0.048    0.000    6.302    0.064 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\internals\managers.py:376(apply)
    23744    0.048    0.000    0.317    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\openpyxl\cell\text.py:161(__init__)
    23744    0.048    0.000    0.098    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\openpyxl\cell\text.py:173(content)
    25270    0.042    0.000    0.725    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\zipfile.py:950(_update_crc)
    18278    0.041    0.000    0.063    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\openpyxl\utils\cell.py:74(_get_column_letter)
   105384    0.036    0.000    0.036    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\openpyxl\descriptors\base.py:23(__set__)
    28429    0.036    0.000    0.098    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\openpyxl\descriptors\base.py:64(__set__)
       98    0.034    0.000    0.059    0.001 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\io\formats\format.py:1634(is_dates_only)
      723    0.033    0.000    0.033    0.000 {built-in method nt.stat}
       24    0.032    0.001    1.027    0.043 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\io\parsers.py:3217(_get_lines)
    25025    0.032    0.000    0.069    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\openpyxl\xml\functions.py:75(localname)
      897    0.030    0.000    0.030    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    24912    0.030    0.000    0.123    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\openpyxl\descriptors\nested.py:28(__set__)
146084/145986    0.029    0.000    0.029    0.000 {built-in method builtins.getattr}
    71379    0.028    0.000    0.040    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\openpyxl\descriptors\base.py:229(__get__)
      656    0.027    0.000    0.027    0.000 {built-in method numpy.empty}
       42    0.026    0.001    0.026    0.001 {pandas._libs.algos.take_2d_axis0_int64_int64}
        1    0.025    0.025    0.164    0.164 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\mimetypes.py:231(read_windows_registry)
    25108    0.025    0.000    0.025    0.000 {method 'match' of 're.Pattern' objects}
    15132    0.024    0.000    0.024    0.000 {method 'seek' of '_io.BufferedReader' objects}
     5577    0.023    0.000    0.023    0.000 {built-in method winreg.EnumKey}
    15110    0.023    0.000    0.023    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\zipfile.py:1527(<lambda>)
        1    0.023    0.023  378.583  378.583 <string>:1(<module>)
        3    0.021    0.007   13.941    4.647 C:/Users/Monika Bisht/Desktop/Nunam_Internship/Task_1/Task_1_Processing.py:19(write_csv)
      929    0.020    0.000    0.020    0.000 {built-in method winreg.QueryValueEx}
      190    0.020    0.000    0.020    0.000 {built-in method marshal.loads}
       24    0.018    0.001    4.253    0.177 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\io\parsers.py:1055(read)
      236    0.018    0.000    0.018    0.000 {method 'extend' of 'list' objects}
      709    0.017    0.000    0.253    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\dtypes\missing.py:202(_isna_ndarraylike)
        7    0.016    0.002    0.016    0.002 {built-in method io.open}
    56836    0.014    0.000    0.014    0.000 {built-in method builtins.hasattr}
    23583    0.014    0.000    0.019    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\dtypes\generic.py:30(_check)
       24    0.014    0.001    3.721    0.155 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\io\parsers.py:2463(read)
      653    0.013    0.000    0.013    0.000 {method 'ravel' of 'numpy.ndarray' objects}
    43662    0.011    0.000    0.011    0.000 {method 'join' of 'str' objects}
    27082    0.011    0.000    0.014    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\openpyxl\descriptors\base.py:49(_convert)
      190    0.010    0.000    0.010    0.000 {built-in method io.open_code}
      886    0.010    0.000    0.054    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\internals\blocks.py:2672(get_block_type)
        1    0.010    0.010    0.075    0.075 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\openpyxl\utils\cell.py:3(<module>)
    47820    0.010    0.000    0.010    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\openpyxl\descriptors\sequence.py:26(<listcomp>)
      199    0.009    0.000    0.211    0.001 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\dtypes\missing.py:244(_isna_string_dtype)
        3    0.009    0.003    0.140    0.047 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\internals\concat.py:35(concatenate_block_managers)
     1870    0.009    0.000    0.009    0.000 {built-in method __new__ of type object at 0x00007FFAF714A810}
       14    0.008    0.001    0.008    0.001 {pandas._libs.algos.take_2d_axis0_object_object}
    25025    0.008    0.000    0.008    0.000 {method 'group' of 're.Match' objects}
     3584    0.008    0.000    0.017    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\dtypes\common.py:1470(is_extension_array_dtype)
      340    0.007    0.000    0.337    0.001 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\internals\blocks.py:733(to_native_types)
      665    0.007    0.000    0.007    0.000 {built-in method numpy.arange}
     5532    0.007    0.000    0.030    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\dtypes\base.py:254(is_dtype)
      424    0.006    0.000    0.019    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\openpyxl\descriptors\__init__.py:18(__new__)
    23752    0.006    0.000    0.006    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\openpyxl\descriptors\nested.py:64(from_tree)
      119    0.006    0.000    0.013    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\internals\managers.py:232(_rebuild_blknos_and_blklocs)
     1117    0.006    0.000    0.009    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\dtypes\common.py:231(is_sparse)
     3608    0.005    0.000    0.008    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\dtypes\base.py:411(find)
    23838    0.005    0.000    0.005    0.000 {method 'replace' of 'str' objects}
    54230    0.005    0.000    0.005    0.000 {built-in method builtins.chr}
    25685    0.005    0.000    0.005    0.000 {built-in method builtins.callable}
      691    0.005    0.000    0.333    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\internals\blocks.py:127(__init__)
      691    0.005    0.000    0.388    0.001 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\internals\blocks.py:2721(make_block)
       98    0.005    0.000   13.598    0.139 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\io\formats\csvs.py:293(_save_chunk)
   168/72    0.004    0.000    0.022    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\indexes\base.py:250(__new__)
      643    0.004    0.000    0.044    0.000 {built-in method builtins.__build_class__}
       98    0.004    0.000    2.555    0.026 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\internals\blocks.py:2093(to_native_types)
      723    0.004    0.000    0.255    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\dtypes\missing.py:133(_isna)
     2541    0.004    0.000    0.007    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\dtypes\common.py:1610(_is_dtype_type)
     1329    0.003    0.000    0.018    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\dtypes\common.py:573(is_string_dtype)
     2936    0.003    0.000    0.003    0.000 {method 'format' of 'str' objects}
     1341    0.003    0.000    0.010    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\dtypes\dtypes.py:1132(is_dtype)
     5577    0.003    0.000    0.027    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\mimetypes.py:244(enum_types)
    13857    0.003    0.000    0.003    0.000 {built-in method builtins.issubclass}
      195    0.003    0.000    1.412    0.007 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\io\parsers.py:1729(_infer_types)
      536    0.003    0.000    0.006    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\internals\blocks.py:324(getitem_block)
     1463    0.003    0.000    0.011    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\dtypes\dtypes.py:923(is_dtype)
       24    0.003    0.000    1.418    0.059 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\io\parsers.py:1656(_convert_to_ndarrays)
     1381    0.003    0.000    0.010    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
     1683    0.003    0.000    0.013    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\dtypes\common.py:537(is_categorical_dtype)
      119    0.003    0.000    0.015    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\arrays\datetimes.py:1891(sequence_to_dt64ns)
      536    0.003    0.000    0.376    0.001 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\internals\blocks.py:276(make_block)
   154/45    0.003    0.000    0.007    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\sre_parse.py:493(_parse)
      101    0.003    0.000    1.169    0.012 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\indexes\base.py:1041(_format_native_types)
      190    0.003    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:969(get_data)
     2066    0.003    0.000    0.008    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\openpyxl\descriptors\base.py:34(__init__)
     1419    0.002    0.000    0.007    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\dtypes\common.py:201(is_object_dtype)
      597    0.002    0.000    0.006    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\numpy\core\_dtype.py:321(_name_get)
      243    0.002    0.000    0.368    0.002 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\construction.py:423(sanitize_array)
     1583    0.002    0.000    0.014    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\dtypes\common.py:463(is_period_dtype)
      236    0.002    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
     1461    0.002    0.000    0.013    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\dtypes\common.py:499(is_interval_dtype)
      818    0.002    0.000    0.016    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\internals\managers.py:1013(iget_values)
     1528    0.002    0.000    0.015    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\dtypes\common.py:1551(_is_dtype)
     2279    0.002    0.000    0.008    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\openpyxl\descriptors\base.py:160(__set__)
     2407    0.002    0.000    0.004    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\openpyxl\descriptors\base.py:18(__init__)
      190    0.002    0.000    0.056    0.000 <frozen importlib._bootstrap_external>:849(get_code)
     1388    0.002    0.000    0.002    0.000 {pandas._libs.lib.is_scalar}
       98    0.002    0.000    3.343    0.034 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\arrays\datetimes.py:615(_format_native_types)
       24    0.002    0.000    0.091    0.004 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\internals\managers.py:1733(_form_blocks)
      223    0.002    0.000    0.005    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\internals\managers.py:126(__init__)
       24    0.002    0.000    0.002    0.000 {built-in method nt.listdir}
      391    0.002    0.000    0.008    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\indexes\base.py:4279(__getitem__)
  417/253    0.002    0.000    0.003    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\openpyxl\descriptors\serialisable.py:204(__hash__)
      432    0.002    0.000    0.009    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\openpyxl\descriptors\__init__.py:9(__new__)
     1165    0.002    0.000    0.008    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\dtypes\common.py:388(is_datetime64tz_dtype)
      691    0.002    0.000    0.004    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\internals\blocks.py:269(mgr_locs)
       48    0.002    0.000    0.003    0.000 {pandas._libs.lib.clean_index_list}
      125    0.002    0.000    0.003    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\generic.py:5411(__finalize__)
       98    0.002    0.000    0.020    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\generic.py:3803(_slice)
    206/8    0.002    0.000    0.422    0.053 <frozen importlib._bootstrap>:986(_find_and_load)
       77    0.002    0.000    0.002    0.000 {pandas._libs.ops.maybe_convert_bool}
      536    0.002    0.000    0.002    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\internals\blocks.py:2748(extend_blocks)
      187    0.002    0.000    0.261    0.001 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\dtypes\cast.py:1379(maybe_cast_to_datetime)
     1431    0.002    0.000    0.003    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\dtypes\common.py:1575(get_dtype)
      197    0.002    0.000    0.002    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\generic.py:188(__init__)
    72/48    0.002    0.000    0.036    0.001 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\series.py:238(__init__)
      915    0.001    0.000    0.011    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\dtypes\common.py:602(condition)
      2/1    0.001    0.001    0.002    0.002 {built-in method _imp.create_dynamic}
      277    0.001    0.000    0.003    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\indexes\base.py:425(_simple_new)
   323/35    0.001    0.000    0.003    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\sre_compile.py:71(_compile)
      380    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
      199    0.001    0.000    0.004    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\indexes\numeric.py:107(_shallow_copy)
     3515    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
     2714    0.001    0.000    0.001    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\internals\blocks.py:265(mgr_locs)
      219    0.001    0.000    0.004    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\dtypes\cast.py:1257(maybe_castable)
      119    0.001    0.000    0.007    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\arrays\datetimes.py:2116(maybe_convert_dtype)
       98    0.001    0.000    0.013    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\internals\managers.py:776(get_slice)
       56    0.001    0.000    0.052    0.001 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\algorithms.py:1661(take_nd)
      558    0.001    0.000    0.002    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\core\dtypes\common.py:1187(needs_i8_conversion)
      319    0.001    0.000    0.001    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      198    0.001    0.000    0.038    0.000 <frozen importlib._bootstrap>:890(_find_spec)
        3    0.001    0.000    0.001    0.000 {method 'close' of '_io.TextIOWrapper' objects}
