Sun Jun 20 01:45:25 2021    output.dat

         325825230 function calls (325819525 primitive calls) in 378.583 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  9585557   37.440    0.000   87.945    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\openpyxl\worksheet\_reader.py:177(parse_cell)
  9585557   36.655    0.000  117.707    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\io\excel\_openpyxl.py:508(_convert_cell)
    25318   34.887    0.001   34.887    0.001 {method 'feed' of 'xml.etree.ElementTree.XMLParser' objects}
  9585557   18.074    0.000   20.203    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\openpyxl\utils\cell.py:193(coordinate_to_tuple)
 20494479   17.091    0.000   24.403    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\xml\etree\ElementTree.py:1292(read_events)
  1250202   16.110    0.000  194.417    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\openpyxl\worksheet\_reader.py:113(parse)
  1250178   14.524    0.000   26.908    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\openpyxl\worksheet\_read_only.py:101(_get_row)
  5834952   11.199    0.000   41.133    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\openpyxl\styles\numbers.py:104(is_date_format)
  5834888   10.211    0.000   16.797    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\openpyxl\cell\read_only.py:64(number_format)
  9585557    9.301    0.000   67.230    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\openpyxl\cell\cell.py:246(is_date)
  9585557    9.227    0.000   12.383    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\openpyxl\cell\read_only.py:14(__init__)
  1250126    8.874    0.000   11.076    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\openpyxl\utils\datetime.py:103(from_excel)
20469195/20469171    8.317    0.000   71.551    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\xml\etree\ElementTree.py:1224(iterator)
  7085014    8.236    0.000    8.236    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\openpyxl\worksheet\_reader.py:78(_cast_number)
  9585557    8.143    0.000   75.373    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\openpyxl\cell\read_only.py:99(is_date)
  5835018    6.871    0.000    6.871    0.000 {method 'search' of 're.Pattern' objects}
  5834952    6.741    0.000    6.741    0.000 {method 'sub' of 're.Pattern' objects}
       24    6.656    0.277  358.977   14.957 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\io\excel\_openpyxl.py:531(get_sheet_data)
26613966/26613959    6.550    0.000    6.570    0.000 {built-in method builtins.isinstance}
  1250178    6.497    0.000   94.443    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\openpyxl\worksheet\_reader.py:286(<listcomp>)
  1250178    6.331    0.000  103.968    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\openpyxl\worksheet\_reader.py:265(parse_row)
 28756959    6.186    0.000    6.186    0.000 {method 'get' of 'xml.etree.ElementTree.Element' objects}
       98    6.074    0.062    6.074    0.062 {pandas._libs.writers.write_csv_rows}
  5834952    5.893    0.000   21.272    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\re.py:198(search)
  5835044    5.806    0.000    8.522    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\re.py:289(_compile)
 27408706    5.680    0.000    5.680    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\openpyxl\cell\read_only.py:108(value)
  1250178    5.620    0.000  123.328    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\io\excel\_openpyxl.py:549(<listcomp>)
  9585557    4.804    0.000    4.804    0.000 {method 'findtext' of 'xml.etree.ElementTree.Element' objects}
  1250202    3.900    0.000  225.229    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\openpyxl\worksheet\_read_only.py:58(_cells_by_row)
  5834888    3.763    0.000    3.763    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\openpyxl\cell\read_only.py:54(style_array)
 20469145    3.544    0.000    3.544    0.000 {method 'popleft' of 'collections.deque' objects}
      196    3.369    0.017    3.369    0.017 {method 'astype' of 'numpy.ndarray' objects}
       98    3.271    0.033    3.279    0.033 {pandas._libs.tslib.format_array_from_datetime}
  9585557    3.157    0.000    3.157    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\openpyxl\cell\read_only.py:112(value)
  1274081    2.921    0.000    2.921    0.000 {method 'clear' of 'xml.etree.ElementTree.Element' objects}
  9585697    2.129    0.000    2.129    0.000 {method 'upper' of 'str' objects}
  5835018    2.088    0.000    2.088    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\openpyxl\styles\cell_style.py:26(__get__)
  1250178    2.020    0.000    3.194    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\openpyxl\worksheet\_reader.py:281(<setcomp>)
  5835222    1.920    0.000    1.920    0.000 {method 'split' of 'str' objects}
    25270    1.889    0.000    1.889    0.000 {method 'decompress' of 'zlib.Decompress' objects}
  1250126    1.233    0.000    1.233    0.000 {built-in method builtins.round}
  2508324    1.177    0.000    1.177    0.000 {method 'startswith' of 'str' objects}
  2500356    0.980    0.000    0.980    0.000 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\io\excel\_openpyxl.py:550(<genexpr>)
  1304232    0.975    0.000    0.975    0.000 {built-in method builtins.divmod}
      195    0.843    0.004    0.844    0.004 {pandas._libs.lib.maybe_convert_numeric}
1250633/1250609    0.801    0.000    1.396    0.000 {built-in method builtins.all}
  2574449    0.736    0.000    0.736    0.000 {method 'get' of 'dict' objects}
    25332    0.683    0.000    0.683    0.000 {built-in method zlib.crc32}
5194967/5193508    0.675    0.000    0.676    0.000 {built-in method builtins.len}
       96    0.640    0.007    0.977    0.010 C:\Users\Monika Bisht\AppData\Local\Programs\Python\Python38\lib\site-packages\pandas\io\parsers.py:3011(_remove_empty_lines)
       77    0.538    0.007    0.538    0.007 {pandas._libs.parsers.sanitize_objects}
  2614223    0.516    0.000    0.516    0.000 {method 'append' of 'list' objects}
    40431    0.501    0.000    1.749    0.000 {built-in method builtins.max}
